index,powerInn,timestamp
204,13.856,5/9/2021 14:30
205,12.965,5/9/2021 15:00
206,12.216,5/9/2021 15:30
207,11.619,5/9/2021 16:00
208,10.977,5/9/2021 16:30
209,9.882,5/9/2021 17:00
210,8.526,5/9/2021 17:30
211,6.944,5/9/2021 18:00
212,5.38,5/9/2021 18:30
213,4.035,5/9/2021 19:00
214,2.848,5/9/2021 19:30
215,1.821,5/9/2021 20:00
216,0.918,5/9/2021 20:30
217,0.506,5/9/2021 21:00
218,0.209,5/9/2021 21:30
219,,5/9/2021 22:00
220,,5/9/2021 22:30
221,,5/9/2021 23:00
222,,5/9/2021 23:30
238,,5/9/2021 0:30
239,,5/9/2021 1:00
240,,5/9/2021 1:30
241,,5/9/2021 2:00
242,,5/9/2021 2:30
243,,5/9/2021 3:00
244,,5/9/2021 3:30
245,,5/9/2021 4:00
246,,5/9/2021 4:30
247,,5/9/2021 5:00
248,0.271,5/9/2021 5:30
249,0.634,5/9/2021 6:00
250,1.306,5/9/2021 6:30
251,2.649,5/9/2021 7:00
252,4.111,5/9/2021 7:30
253,5.661,5/9/2021 8:00
254,7.06,5/9/2021 8:30
255,8.25,5/9/2021 9:00
256,9.355,5/9/2021 9:30
257,10.472,5/9/2021 10:00
258,11.702,5/9/2021 10:30
259,12.958,5/9/2021 11:00
260,14.4,5/9/2021 11:30
261,15.612,5/9/2021 12:00
262,16.452,5/9/2021 12:30
263,16.78,5/9/2021 13:00
264,16.079,5/9/2021 13:30
265,15.107,5/9/2021 14:00
266,13.856,5/9/2021 14:30
267,12.965,5/9/2021 15:00
268,12.216,5/9/2021 15:30
269,11.619,5/9/2021 16:00
270,10.977,5/9/2021 16:30
271,9.882,5/9/2021 17:00
272,8.526,5/9/2021 17:30
273,6.944,5/9/2021 18:00
274,5.38,5/9/2021 18:30
275,4.035,5/9/2021 19:00
276,2.848,5/9/2021 19:30
277,1.821,5/9/2021 20:00
278,0.918,5/9/2021 20:30
279,0.506,5/9/2021 21:00
280,0.209,5/9/2021 21:30
281,,5/9/2021 22:00
282,,5/9/2021 22:30
283,,5/9/2021 23:00
284,,5/9/2021 23:30
285,,5/10/2021 0:00
286,,5/10/2021 0:30
287,,5/10/2021 1:00
288,,5/10/2021 1:30
289,,5/10/2021 2:00
290,,5/10/2021 2:30
291,,5/10/2021 3:00
292,,5/10/2021 3:30
293,,5/10/2021 4:00
294,,5/10/2021 4:30
295,,5/10/2021 5:00
296,0.276,5/10/2021 5:30
297,0.644,5/10/2021 6:00
298,1.268,5/10/2021 6:30
299,2.582,5/10/2021 7:00
300,4.06,5/10/2021 7:30
301,5.77,5/10/2021 8:00
302,7.356,5/10/2021 8:30
303,9.039,5/10/2021 9:00
304,10.984,5/10/2021 9:30
305,12.919,5/10/2021 10:00
306,14.725,5/10/2021 10:30
307,16.062,5/10/2021 11:00
308,16.303,5/10/2021 11:30
309,16.032,5/10/2021 12:00
310,15.147,5/10/2021 12:30
311,14.571,5/10/2021 13:00
312,14.452,5/10/2021 13:30
313,14.598,5/10/2021 14:00
314,14.488,5/10/2021 14:30
315,14.005,5/10/2021 15:00
316,12.603,5/10/2021 15:30
317,10.879,5/10/2021 16:00
318,9.042,5/10/2021 16:30
319,7.324,5/10/2021 17:00
320,5.906,5/10/2021 17:30
321,4.672,5/10/2021 18:00
322,3.656,5/10/2021 18:30
323,2.732,5/10/2021 19:00
324,1.924,5/10/2021 19:30
325,1.221,5/10/2021 20:00
326,0.678,5/10/2021 20:30
327,0.403,5/10/2021 21:00
328,0.17,5/10/2021 21:30
329,,5/10/2021 22:00
330,,5/10/2021 22:30
331,,5/10/2021 23:00
332,,5/10/2021 23:30
333,,5/11/2021 0:00
334,,5/12/2021 0:30
335,,5/12/2021 1:00
336,,5/12/2021 1:30
337,,5/12/2021 2:00
338,,5/12/2021 2:30
339,,5/12/2021 3:00
340,,5/12/2021 3:30
341,,5/12/2021 4:00
342,,5/12/2021 4:30
343,0.032,5/12/2021 5:00
344,0.234,5/12/2021 5:30
345,0.531,5/12/2021 6:00
346,0.951,5/12/2021 6:30
347,1.722,5/12/2021 7:00
348,2.449,5/12/2021 7:30
349,3.046,5/12/2021 8:00
350,3.581,5/12/2021 8:30
351,3.957,5/12/2021 9:00
352,4.297,5/12/2021 9:30
353,4.631,5/12/2021 10:00
354,4.896,5/12/2021 10:30
355,5.309,5/12/2021 11:00
356,5.72,5/12/2021 11:30
357,6.111,5/12/2021 12:00
358,6.299,5/12/2021 12:30
359,6.213,5/12/2021 13:00
360,5.664,5/12/2021 13:30
361,4.884,5/12/2021 14:00
362,4.08,5/12/2021 14:30
363,3.4,5/12/2021 15:00
364,3.013,5/12/2021 15:30
365,2.804,5/12/2021 16:00
366,2.714,5/12/2021 16:30
367,2.713,5/12/2021 17:00
368,2.676,5/12/2021 17:30
369,2.552,5/12/2021 18:00
370,2.306,5/12/2021 18:30
371,1.921,5/12/2021 19:00
372,1.425,5/12/2021 19:30
373,0.905,5/12/2021 20:00
374,0.586,5/12/2021 20:30
375,0.337,5/12/2021 21:00
376,0.169,5/12/2021 21:30
377,0.031,5/12/2021 22:00
378,,5/12/2021 22:30
379,,5/12/2021 23:00
380,,5/12/2021 23:30
381,,5/13/2021 0:00
382,,5/13/2021 0:30
383,,5/13/2021 1:00
384,,5/13/2021 1:30
385,,5/13/2021 2:00
386,,5/13/2021 2:30
387,,5/13/2021 3:00
388,,5/13/2021 3:30
