index,people,lightVal,tempVal,winowOpen,fanSpeed,roomID,timestamp
112,10,0,0,43,0,2,5/7/2021 10:48
113,10,120,0,43,0,2,5/7/2021 10:49
114,10,120,0,43,119,2,5/7/2021 10:49
115,10,120,0,43,26,2,5/7/2021 10:51
116,10,120,0,65,26,2,5/7/2021 10:51
117,10,120,0,65,0,2,5/7/2021 10:55
118,0,255,16,90,0,1,5/7/2021 11:13
119,0,255,0,0,25,1,5/7/2021 11:26
120,0,0,0,0,0,1,5/7/2021 11:27
121,0,0,0,0,0,1,5/7/2021 11:28
122,0,25,0,0,0,1,5/7/2021 11:28
123,0,0,0,0,0,5,5/7/2021 11:28
124,0,100,0,0,0,5,5/7/2021 11:28
125,5,25,0,0,0,1,5/7/2021 11:29
126,5,25,0,0,0,1,5/7/2021 11:35
127,5,120,0,65,0,2,5/7/2021 11:35
128,5,0,0,0,0,3,5/7/2021 11:35
129,5,0,0,65,0,2,5/7/2021 11:38
130,5,0,0,65,0,2,5/7/2021 11:38
131,5,0,0,65,0,2,5/7/2021 13:31
132,5,0,15,65,0,2,5/7/2021 13:32
133,5,0,15,65,0,2,5/7/2021 13:32
134,5,0,15,65,0,2,5/7/2021 13:32
135,5,0,15,65,0,2,5/7/2021 13:33
136,5,25,0,0,0,1,5/7/2021 13:37
137,5,25,0,90,0,1,5/7/2021 13:38
138,5,25,0,90,0,1,5/7/2021 13:38
139,5,0,0,90,0,1,5/7/2021 13:41
140,5,0,0,90,0,1,5/7/2021 13:41
141,5,0,0,90,0,1,5/7/2021 13:41
142,5,0,0,90,0,1,5/7/2021 13:41
143,5,0,0,0,0,1,5/7/2021 13:45
144,5,0,0,0,0,1,5/7/2021 13:45
145,5,0,0,0,0,1,5/7/2021 13:47
146,5,255,0,0,0,1,5/7/2021 13:49
147,5,255,0,0,0,1,5/7/2021 13:49
148,5,0,0,0,0,1,5/7/2021 13:49
149,5,0,0,0,0,1,5/7/2021 13:49
150,5,0,0,0,0,1,5/7/2021 14:06
151,5,0,0,0,0,1,5/7/2021 14:06
152,5,1,0,0,0,1,5/7/2021 14:30
153,5,1,0,0,0,1,5/7/2021 14:44
154,5,1,0,0,0,1,5/7/2021 15:19
155,5,1,0,0,0,1,5/7/2021 15:20
156,5,255,0,0,0,1,5/7/2021 15:21
157,5,255,0,0,0,1,5/7/2021 15:21
158,0,0,0,99,0,0,5/7/2021 15:21
159,5,0,0,90,0,1,5/7/2021 15:22
160,5,0,0,90,0,1,5/7/2021 15:22
161,0,0,0,0,50,0,5/7/2021 15:22
162,5,0,0,0,50,1,5/7/2021 15:22
163,5,0,0,0,50,1,5/7/2021 15:22
164,5,0,0,0,0,1,5/7/2021 15:23
165,5,0,0,0,0,1,5/7/2021 15:23
166,5,,,90,,1,5/7/2021 15:23
167,5,,,90,,1,5/7/2021 15:24
168,5,,,0,,1,5/7/2021 15:24
169,5,,,,50,1,5/7/2021 15:24
170,5,,,,50,1,5/7/2021 15:25
171,5,0,0,0,50,1,5/7/2021 15:25
172,5,0,0,0,50,1,5/7/2021 15:25
173,5,0,0,0,100,1,5/7/2021 15:25
174,5,0,0,0,100,1,5/7/2021 15:25
175,5,255,25,0,0,1,5/7/2021 15:26
176,5,255,25,0,0,1,5/7/2021 15:26
177,5,255,25,0,0,1,5/7/2021 15:48
178,5,0,25,0,0,1,5/7/2021 15:49
179,5,0,25,0,0,1,5/7/2021 15:49
180,5,0,25,0,0,1,5/7/2021 15:49
181,5,0,25,0,255,1,5/7/2021 15:49
182,5,0,25,0,255,1,5/7/2021 15:49
183,5,0,25,0,0,1,5/7/2021 15:49
184,5,0,25,0,0,1,5/7/2021 15:49
185,5,0,25,90,0,1,5/7/2021 15:49
186,5,0,25,90,0,1,5/7/2021 15:49
187,5,0,25,90,0,1,5/7/2021 15:49
188,5,0,15,90,0,1,5/7/2021 15:49
189,5,0,15,90,0,1,5/7/2021 15:49
190,5,0,15,90,0,1,5/7/2021 16:27
191,5,0,15,90,0,1,5/7/2021 16:27
192,5,10,15,90,0,1,5/7/2021 19:14
193,5,10,15,10,0,1,5/7/2021 19:17
194,1,201,22,42,255,9,5/12/2021 14:57
195,5,50,15,10,0,1,5/14/2021 11:56
196,5,0,15,65,50,2,5/14/2021 11:58
197,5,0,15,65,0,2,5/14/2021 11:59
198,5,50,15,10,0,1,5/14/2021 12:00
199,5,50,15,90,0,1,5/14/2021 12:01
200,5,50,15,90,0,1,5/14/2021 12:01
201,5,50,15,90,50,1,5/14/2021 12:01
202,5,50,15,90,50,1,5/14/2021 12:01
203,5,50,15,90,0,1,5/14/2021 12:01
204,5,50,15,90,0,1,5/14/2021 12:01
205,5,0,15,0,0,2,5/14/2021 12:03
206,5,0,15,0,150,2,5/14/2021 12:03
207,5,0,15,0,0,2,5/14/2021 12:03
208,5,0,15,0,50,2,5/14/2021 12:03
209,5,0,15,0,0,2,5/14/2021 12:05
210,5,0,15,90,0,1,5/14/2021 12:13
211,5,0,15,90,0,1,5/14/2021 12:13
212,5,255,15,0,0,2,5/14/2021 12:15
213,5,255,15,0,50,2,5/14/2021 12:16
214,5,255,15,0,0,2,5/14/2021 12:16
215,5,255,15,90,0,2,5/14/2021 12:16
216,5,0,15,60,0,1,5/14/2021 12:16
217,5,0,15,60,0,1,5/14/2021 12:16
218,5,0,15,60,50,1,5/14/2021 12:16
219,5,0,15,60,50,1,5/14/2021 12:16
220,5,0,15,60,0,1,5/14/2021 12:17
221,5,0,15,60,0,1,5/14/2021 12:17
222,5,0,15,60,0,1,5/14/2021 12:17
223,5,0,15,60,50,1,5/14/2021 12:17
224,5,0,15,60,50,1,5/14/2021 12:17
225,5,0,15,60,0,1,5/14/2021 12:17
226,5,0,15,60,0,1,5/14/2021 12:17
227,5,0,15,60,0,1,5/14/2021 12:18
228,5,255,15,90,150,2,5/14/2021 12:18
229,5,255,15,90,0,2,5/14/2021 12:18
230,5,255,15,90,50,2,5/14/2021 12:19
231,5,255,15,90,0,2,5/14/2021 12:19
232,5,0,15,90,0,2,5/14/2021 12:20
233,5,0,25,60,0,1,5/14/2021 12:20
234,5,0,25,60,0,1,5/14/2021 12:20
